code_departement,nom_departement,nom_commune,code_commune,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local,surface_terrain,population_2021,population_2015,pourcentage_chomage_2021,pourcentage_chomage_2020,pourcentage_taux_cambriolages,evolution_2016_2021,loyer_moyen,prix_moyen(m²),rendement_locatifs
11,Aude,Saint-Michel-de-Lanès,11359,379000,180,3,Maison,614,377000,360000,10.4,10.4,5.9,-23.7,9.416173961,2105.56,5.37
11,Aude,Labastide-d'Anjou,11178,180000,84,4,Maison,200,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,2142.86,4.3
11,Aude,Montréal,11254,274700,152,6,Maison,450,377000,360000,10.4,10.4,5.9,-23.7,8.298778358,1807.24,5.51
11,Aude,Puilaurens,11302,49000,60,1,Maison,47,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,816.67,8.72
11,Aude,Carcassonne,11069,222510,265,6,Maison,541,377000,360000,10.4,10.4,5.9,-23.7,8.817775856,839.66,12.6
11,Aude,Escueillens-et-Saint-Just-de-Bélengard,11128,525000,156,5,Maison,917,377000,360000,10.4,10.4,5.9,-23.7,6.679097169,3365.38,2.38
11,Aude,Escueillens-et-Saint-Just-de-Bélengard,11128,525000,91,5,Maison,1293,377000,360000,10.4,10.4,5.9,-23.7,6.679097169,5769.23,1.39
11,Aude,Puilaurens,11302,70000,110,5,Maison,73,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,636.36,11.19
11,Aude,Carcassonne,11069,183000,132,4,Maison,500,377000,360000,10.4,10.4,5.9,-23.7,8.817775856,1386.36,7.63
11,Aude,Carcassonne,11069,183000,132,4,Maison,2364,377000,360000,10.4,10.4,5.9,-23.7,8.817775856,1386.36,7.63
11,Aude,Verdun-en-Lauragais,11407,250000,152,5,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,8.241721698,1644.74,6.01
11,Aude,Verdun-en-Lauragais,11407,250000,152,5,Maison,1677,377000,360000,10.4,10.4,5.9,-23.7,8.241721698,1644.74,6.01
11,Aude,Chalabre,11091,165500,125,5,Maison,675,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,1324,6.81
11,Aude,Villardonnel,11413,280000,120,5,Maison,73,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,2333.33,3.53
11,Aude,Malviès,11216,270000,210,6,Maison,1124,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,1285.71,7.29
11,Aude,Laurac,11196,233806,199,5,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,6.679097169,1174.9,6.82
11,Aude,Laurac,11196,233806,199,5,Maison,420,377000,360000,10.4,10.4,5.9,-23.7,6.679097169,1174.9,6.82
11,Aude,Laurac,11196,233806,199,5,Maison,1210,377000,360000,10.4,10.4,5.9,-23.7,6.679097169,1174.9,6.82
11,Aude,Payra-sur-l'Hers,11275,457950,290,5,Maison,4703,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1579.14,5.83
11,Aude,Payra-sur-l'Hers,11275,457950,290,5,Maison,4703,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1579.14,5.83
11,Aude,Payra-sur-l'Hers,11275,457950,290,5,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1579.14,5.83
11,Aude,Cavanac,11085,390000,257,7,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,7.497535481,1517.51,5.93
11,Aude,Bize-Minervois,11041,241500,160,6,Maison,2050,377000,360000,10.4,10.4,5.9,-23.7,9.346636281,1509.38,7.43
11,Aude,Narbonne,11262,330000,54,1,Maison,101,377000,360000,10.4,10.4,5.9,-23.7,10.75248838,6111.11,2.11
11,Aude,Saint-Denis,11339,418634,140,5,Maison,1200,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,2990.24,2.72
11,Aude,Couiza,11103,170000,62,3,Maison,287,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2741.94,2.97
11,Aude,Couiza,11103,170000,62,3,Appartement,287,377000,360000,10.4,10.4,5.9,-23.7,7.788520201,2741.94,3.41
11,Aude,Festes-et-Saint-André,11142,294000,120,3,Maison,2064,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,2450,3.68
11,Aude,Festes-et-Saint-André,11142,294000,120,3,Maison,136,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,2450,3.68
11,Aude,Espéraza,11129,93700,60,4,Maison,390,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1561.67,4.56
11,Aude,Belvianes-et-Cavirac,11035,65000,75,3,Maison,170,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,866.67,8.22
11,Aude,Carcassonne,11069,85000,75,4,Maison,69,377000,360000,10.4,10.4,5.9,-23.7,8.817775856,1133.33,9.34
11,Aude,Pieusse,11289,315000,150,4,Maison,1440,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2100,3.88
11,Aude,Cambieure,11061,321000,108,4,Maison,1165,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,2972.22,3.15
11,Aude,Saissac,11367,217627,124,4,Maison,920,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,1755.06,4.69
11,Aude,Salles-sur-l'Hers,11371,170000,71,4,Maison,500,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,2394.37,3.84
11,Aude,Carcassonne,11069,315000,146,6,Maison,600,377000,360000,10.4,10.4,5.9,-23.7,8.817775856,2157.53,4.9
11,Aude,Campagne-sur-Aude,11063,220000,107,4,Maison,500,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,2056.07,3.46
